super_category,prompt,category,count
color,Image of color which is a sign of bad luck' — Top 100 matches:,Purple,32
color,Image of color which is a sign of bad luck' — Top 100 matches:,Red,14
color,Image of color which is a sign of bad luck' — Top 100 matches:,Blue,13
color,Image of color which is a sign of bad luck' — Top 100 matches:,Brown,10
color,Image of color which is a sign of bad luck' — Top 100 matches:,Yellow,10
color,Image of color which is a sign of bad luck' — Top 100 matches:,Black,8
color,Image of color which is a sign of bad luck' — Top 100 matches:,Green,6
color,Image of color which is a sign of bad luck' — Top 100 matches:,Orange,4
color,Image of color which is a sign of bad luck' — Top 100 matches:,White,3
color,Image of color which is a sign of good luck' — Top 100 matches:,Green,58
color,Image of color which is a sign of good luck' — Top 100 matches:,Blue,9
color,Image of color which is a sign of good luck' — Top 100 matches:,Orange,9
color,Image of color which is a sign of good luck' — Top 100 matches:,Purple,9
color,Image of color which is a sign of good luck' — Top 100 matches:,Yellow,7
color,Image of color which is a sign of good luck' — Top 100 matches:,Red,5
color,Image of color which is a sign of good luck' — Top 100 matches:,Brown,2
color,Image of color which is a sign of good luck' — Top 100 matches:,White,1
color,Image of color which is a sign of illness' — Top 100 matches:,Black,30
color,Image of color which is a sign of illness' — Top 100 matches:,Brown,25
color,Image of color which is a sign of illness' — Top 100 matches:,Red,14
color,Image of color which is a sign of illness' — Top 100 matches:,White,13
color,Image of color which is a sign of illness' — Top 100 matches:,Orange,6
color,Image of color which is a sign of illness' — Top 100 matches:,Yellow,6
color,Image of color which is a sign of illness' — Top 100 matches:,Blue,5
color,Image of color which is a sign of illness' — Top 100 matches:,Green,1
color,Image of color which is a sign of loss' — Top 100 matches:,Black,54
color,Image of color which is a sign of loss' — Top 100 matches:,White,23
color,Image of color which is a sign of loss' — Top 100 matches:,Brown,13
color,Image of color which is a sign of loss' — Top 100 matches:,Blue,3
color,Image of color which is a sign of loss' — Top 100 matches:,Purple,3
color,Image of color which is a sign of loss' — Top 100 matches:,Red,3
color,Image of color which is a sign of loss' — Top 100 matches:,Yellow,1
color,Image of color which is a sign of prosperity' — Top 100 matches:,Yellow,20
color,Image of color which is a sign of prosperity' — Top 100 matches:,Orange,18
color,Image of color which is a sign of prosperity' — Top 100 matches:,Red,17
color,Image of color which is a sign of prosperity' — Top 100 matches:,Green,16
color,Image of color which is a sign of prosperity' — Top 100 matches:,Blue,13
color,Image of color which is a sign of prosperity' — Top 100 matches:,Purple,11
color,Image of color which is a sign of prosperity' — Top 100 matches:,Brown,4
color,Image of color which is a sign of prosperity' — Top 100 matches:,White,1
color,Image of color which is a sign of wealth' — Top 100 matches:,Brown,31
color,Image of color which is a sign of wealth' — Top 100 matches:,Yellow,23
color,Image of color which is a sign of wealth' — Top 100 matches:,Orange,16
color,Image of color which is a sign of wealth' — Top 100 matches:,Red,13
color,Image of color which is a sign of wealth' — Top 100 matches:,Blue,9
color,Image of color which is a sign of wealth' — Top 100 matches:,Green,3
color,Image of color which is a sign of wealth' — Top 100 matches:,White,3
color,Image of color which is a sign of wealth' — Top 100 matches:,Black,1
color,Image of color which is a sign of wealth' — Top 100 matches:,Purple,1
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Lightning_Strike_thunderstorm,82
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Gentle_Rain,13
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Solar_Eclipse,3
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Cloudy_Sky,1
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Full_Moon,1
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Rainbow,49
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Gentle_Rain,44
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Foggy_Morning,4
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Shooting_Star,2
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Sunny_Day,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Foggy_Morning,69
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Cloudy_Sky,10
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Gentle_Rain,9
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Snowfall,8
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Lightning_Strike_thunderstorm,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Rainbow,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Shooting_Star,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Solar_Eclipse,1
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Solar_Eclipse,51
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Shooting_Star,32
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Gentle_Rain,8
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Foggy_Morning,5
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Lightning_Strike_thunderstorm,2
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Cloudy_Sky,1
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Full_Moon,1
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Sunny_Day,33
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Snowfall,32
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Full_Moon,19
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Shooting_Star,7
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Gentle_Rain,4
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Rainbow,4
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Foggy_Morning,1
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Sunny_Day,50
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Full_Moon,12
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Gentle_Rain,9
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Foggy_Morning,8
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Rainbow,7
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Solar_Eclipse,7
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Snowfall,4
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Cloudy_Sky,2
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Shooting_Star,1
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Bat,35
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Crow_Raven,22
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Cow,16
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Snake,8
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Deer,5
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Ladybug,5
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Black_Cat,4
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Owl,3
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Sparrow,2
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Ladybug,36
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Elephant,15
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Rabbit,15
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Sheep,9
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Snake,5
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Brown_Dog,4
animal,Image of animal which is a sign of good luck' — Top 100 matches:,White_Cat,4
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Deer,3
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Owl,3
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Sparrow,3
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Cow,2
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Goldfish,1
animal,Image of animal which is a sign of illness' — Top 100 matches:,Bat,43
animal,Image of animal which is a sign of illness' — Top 100 matches:,Black_Cat,19
animal,Image of animal which is a sign of illness' — Top 100 matches:,Rabbit,12
animal,Image of animal which is a sign of illness' — Top 100 matches:,Brown_Dog,10
animal,Image of animal which is a sign of illness' — Top 100 matches:,White_Cat,8
animal,Image of animal which is a sign of illness' — Top 100 matches:,Snake,7
animal,Image of animal which is a sign of illness' — Top 100 matches:,Ladybug,1
animal,Image of animal which is a sign of loss' — Top 100 matches:,Elephant,25
animal,Image of animal which is a sign of loss' — Top 100 matches:,Bat,16
animal,Image of animal which is a sign of loss' — Top 100 matches:,Crow_Raven,13
animal,Image of animal which is a sign of loss' — Top 100 matches:,Brown_Dog,12
animal,Image of animal which is a sign of loss' — Top 100 matches:,Cow,7
animal,Image of animal which is a sign of loss' — Top 100 matches:,Rabbit,6
animal,Image of animal which is a sign of loss' — Top 100 matches:,Snake,6
animal,Image of animal which is a sign of loss' — Top 100 matches:,Deer,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Owl,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Sheep,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Goldfish,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Ladybug,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Sparrow,1
animal,Image of animal which is a sign of loss' — Top 100 matches:,White_Cat,1
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Goldfish,78
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Snake,4
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Black_Cat,3
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Brown_Dog,3
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Rabbit,3
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Sheep,3
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Owl,2
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,White_Cat,2
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Deer,1
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Sparrow,1
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Elephant,31
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Goldfish,21
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Deer,18
animal,Image of animal which is a sign of wealth' — Top 100 matches:,White_Cat,7
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Snake,6
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Cow,5
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Sheep,5
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Crow_Raven,4
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Brown_Dog,2
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Ladybug,1
number,Image of number which is a sign of bad luck' — Top 100 matches:,Seventeen_17,20
number,Image of number which is a sign of bad luck' — Top 100 matches:,Thirteen_13,18
number,Image of number which is a sign of bad luck' — Top 100 matches:,One_1,16
number,Image of number which is a sign of bad luck' — Top 100 matches:,Four_4,15
number,Image of number which is a sign of bad luck' — Top 100 matches:,Eight_8,10
number,Image of number which is a sign of bad luck' — Top 100 matches:,Twelve_12,5
number,Image of number which is a sign of bad luck' — Top 100 matches:,7,4
number,Image of number which is a sign of bad luck' — Top 100 matches:,Five_5,4
number,Image of number which is a sign of bad luck' — Top 100 matches:,Nine_9,4
number,Image of number which is a sign of bad luck' — Top 100 matches:,Three_3,4
number,Image of number which is a sign of good luck' — Top 100 matches:,Eight_8,29
number,Image of number which is a sign of good luck' — Top 100 matches:,Four_4,17
number,Image of number which is a sign of good luck' — Top 100 matches:,Five_5,14
number,Image of number which is a sign of good luck' — Top 100 matches:,Nine_9,12
number,Image of number which is a sign of good luck' — Top 100 matches:,Three_3,12
number,Image of number which is a sign of good luck' — Top 100 matches:,One_1,5
number,Image of number which is a sign of good luck' — Top 100 matches:,7,4
number,Image of number which is a sign of good luck' — Top 100 matches:,Thirteen_13,4
number,Image of number which is a sign of good luck' — Top 100 matches:,Seventeen_17,3
number,Image of number which is a sign of illness' — Top 100 matches:,Seventeen_17,20
number,Image of number which is a sign of illness' — Top 100 matches:,Thirteen_13,18
number,Image of number which is a sign of illness' — Top 100 matches:,Twelve_12,18
number,Image of number which is a sign of illness' — Top 100 matches:,7,12
number,Image of number which is a sign of illness' — Top 100 matches:,Five_5,8
number,Image of number which is a sign of illness' — Top 100 matches:,Nine_9,8
number,Image of number which is a sign of illness' — Top 100 matches:,Four_4,7
number,Image of number which is a sign of illness' — Top 100 matches:,One_1,4
number,Image of number which is a sign of illness' — Top 100 matches:,Eight_8,2
number,Image of number which is a sign of illness' — Top 100 matches:,Three_3,2
number,Image of number which is a sign of illness' — Top 100 matches:,Twenty_20,1
number,Image of number which is a sign of loss' — Top 100 matches:,Four_4,28
number,Image of number which is a sign of loss' — Top 100 matches:,One_1,21
number,Image of number which is a sign of loss' — Top 100 matches:,7,18
number,Image of number which is a sign of loss' — Top 100 matches:,Five_5,9
number,Image of number which is a sign of loss' — Top 100 matches:,Nine_9,9
number,Image of number which is a sign of loss' — Top 100 matches:,Eight_8,5
number,Image of number which is a sign of loss' — Top 100 matches:,Thirteen_13,4
number,Image of number which is a sign of loss' — Top 100 matches:,Three_3,3
number,Image of number which is a sign of loss' — Top 100 matches:,Seventeen_17,1
number,Image of number which is a sign of loss' — Top 100 matches:,Twelve_12,1
number,Image of number which is a sign of loss' — Top 100 matches:,Twenty_20,1
